ResortName,Location
Alta Sierra — Wofford Heights,
Badger Pass — Yosemite National Park,
Bear Mountain — Big Bear Lake,
Bear Valley — Angels Camp,
Boreal Mountain — Soda Springs,
Buckhorn Ski Club — Three Points (private),
China Peak — Lakeshore,
Coppervale Ski Area — Susanville,
Dodge Ridge — Sonora,
Donner Ski Ranch — Norden,
Granlibakken — Tahoe City,
Heavenly Mountain — South Lake Tahoe,
Homewood Mountain — Homewood,
June Mountain — June Lake,
Kirkwood Mountain — Kirkwood,
Mammoth Mountain — Mammoth Lakes,
Mount Baldy Ski Lifts — Mount Baldy,
Mount Shasta Ski Park — Mount Shasta,
Mount Waterman — Three Points,
Mountain High — Wrightwood,
Northstar California — Truckee,
Palisades Tahoe — Olympic Valley,
Sierra-at-Tahoe — Twin Bridges,
Snow Summit — Big Bear Lake,
Snow Valley — Running Springs,
Soda Springs — Soda Springs,
Sugar Bowl — Norden,
Tahoe Donner Downhill — Truckee,
Diamond Peak — Incline Village,